OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ZELEV,BUFF_DIST,ORIG_FID,DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_,CROSS_STRE,OFF_STREET,CONTRIBUTI,CONTRIBU_1,CONTRIBU_2,CONTRIBU_3,CONTRIBU_4,UNIQUE_KEY,VEHICLE_TY,VEHICLE__1,VEHICLE__2,VEHICLE__3,VEHICLE__4,incidence,IndexID,OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area_1,OBJECTID_12,GEOID_1,B00001e1,B00001m1,B00002e1,B00002m1,OBJECTID_2,GEOID_12,B19001e1,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,SHAPE_Length,SHAPE_Area
1,0,1,2,1,0,15,1,,,,,,,,,,,,,,,,,,,,,,,,1,36,47,5202,0,3.6047E+11,Block Group 0,G5030,S,0,440002,40.618244,-74.0463778,15000US360470052020,0.028408178,4.56936E-05,3815,15000US360470052020,54,-1,34,-1,3815,15000US360470052020,358,50,20,25,8,14,33,28,10,18,16,23,6,14,9,16,12,23,6,15,11,16,40,32,61,33,64,38,26,26,18,19,18,18,94.24777961,706.8583471
2,0,2,1,2,0,15,2,,,,,,,,,,,,,,,,,,,,,,,,2,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
3,0,3,1,3,0,15,3,,,,,,,,,,,,,,,,,,,,,,,,3,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
4,0,4,1,4,0,15,4,,,,,,,,,,,,,,,,,,,,,,,,4,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
5,0,5,1,5,1,15,5,,,,,,,,,,,,,,,,,,,,,,,,5,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
6,0,6,1,6,0,15,6,,,,,,,,,,,,,,,,,,,,,,,,6,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
7,0,7,1,7,1,15,7,,,,,,,,,,,,,,,,,,,,,,,,7,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
8,0,8,1,8,0,15,8,,,,,,,,,,,,,,,,,,,,,,,,8,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
9,0,9,1,9,0,15,9,,,,,,,,,,,,,,,,,,,,,,,,9,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
10,0,10,1,10,1,15,10,,,,,,,,,,,,,,,,,,,,,,,,10,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
11,0,11,1,11,0,15,11,,,,,,,,,,,,,,,,,,,,,,,,11,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471
12,0,12,1,12,0,15,12,,,,,,,,,,,,,,,,,,,,,,,,12,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
13,0,13,1,13,0,15,13,,,,,,,,,,,,,,,,,,,,,,,,13,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471
14,0,14,1,14,0,15,14,,,,,,,,,,,,,,,,,,,,,,,,14,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471
15,0,15,1,15,0,15,15,,,,,,,,,,,,,,,,,,,,,,,,15,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,109,-1,68,-1,3816,15000US360470052021,717,89,41,39,15,17,66,44,21,24,31,35,11,17,18,20,23,35,13,19,22,21,80,52,122,55,129,64,53,40,35,27,37,25,94.24777961,706.8583471
16,0,16,1,16,0,15,16,,,,,,,,,,,,,,,,,,,,,,,,16,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471
17,0,17,1,17,0,15,17,,,,,,,,,,,,,,,,,,,,,,,,17,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471
18,0,18,1,18,0,15,18,,,,,,,,,,,,,,,,,,,,,,,,18,36,47,5400,1,3.6047E+11,Block Group 1,G5030,S,79806,0,40.6170658,-74.0382121,15000US360470054001,0.013588012,8.49287E-06,3824,15000US360470054001,163,-1,97,-1,3824,15000US360470054001,871,104,59,41,55,43,32,24,44,41,36,33,8,13,16,19,15,17,35,34,69,46,95,58,108,55,86,44,96,65,51,36,66,38,94.24777961,706.8583471
19,0,19,1,19,0,15,19,,,,,,,,,,,,,,,,,,,,,,,,19,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471
20,0,20,1,20,0,15,20,,,,,,,,,,,,,,,,,,,,,,,,20,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
21,0,21,2,21,0,15,21,,,,,,,,,,,,,,,,,,,,,,,,21,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,142,-1,89,-1,3814,15000US360470052011,881,78,164,64,88,38,52,36,22,22,23,27,13,17,14,18,30,36,10,14,42,28,58,40,109,55,84,53,48,36,60,41,64,34,94.24777961,706.8583471
22,0,22,1,22,0,15,22,,,,,,,,,,,,,,,,,,,,,,,,22,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471
23,0,23,1,23,0,15,23,,,,,,,,,,,,,,,,,,,,,,,,23,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471
24,0,24,1,24,0,15,24,,,,,,,,,,,,,,,,,,,,,,,,24,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,55,-1,33,-1,3807,15000US360470050001,385,73,8,14,0,11,0,11,33,38,7,12,7,12,35,42,0,11,0,11,31,39,37,38,58,50,63,60,13,15,33,22,60,49,94.24777961,706.8583471
25,0,25,2,25,0,15,25,,,,,,,,,,,,,,,,,,,,,,,,25,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,129,-1,55,-1,3801,15000US360470046001,448,60,6,11,3,10,2,10,24,27,4,12,16,14,27,28,3,10,4,10,28,32,27,27,85,43,40,38,16,15,77,35,85,45,94.24777961,706.8583471
26,0,26,2,26,0,15,26,,,,,,,,,,,,,,,,,,,,,,,,26,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471
27,0,27,2,27,0,15,27,,,,,,,,,,,,,,,,,,,,,,,,27,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471
28,0,28,2,28,0,15,28,,,,,,,,,,,,,,,,,,,,,,,,28,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471
29,0,29,1,29,0,15,29,,,,,,,,,,,,,,,,,,,,,,,,29,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
30,1,30,2,30,0,15,30,6/17/2013 0:00,20:30,BROOKLYN,11209,40.6191501,-74.0399651,"(40.6191501, -74.0399651)",SHORE ROAD,OLIVER STREET, ,Unspecified,Unspecified, , , ,142996,PASSENGER VEHICLE,BICYCLE, , , ,1,758,30,36,47,5202,1,3.6047E+11,Block Group 1,G5030,S,49828,0,40.6199914,-74.0399197,15000US360470052021,0.010116525,5.30287E-06,3816,15000US360470052021,107,-1,65,-1,3816,15000US360470052021,726,94,52,42,18,20,56,46,14,18,30,38,12,15,9,16,16,24,40,36,78,56,80,50,102,52,91,51,26,26,37,30,66,34,94.24777961,706.8583471
31,0,31,1,31,0,15,31,,,,,,,,,,,,,,,,,,,,,,,,31,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
32,0,32,2,32,1,15,32,,,,,,,,,,,,,,,,,,,,,,,,32,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471
33,0,33,2,33,0,15,33,,,,,,,,,,,,,,,,,,,,,,,,33,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471
34,0,34,2,34,0,15,34,,,,,,,,,,,,,,,,,,,,,,,,34,36,47,4400,0,3.6047E+11,Block Group 0,G5030,S,0,817305,40.6330732,-74.0485191,15000US360470044000,0.039159214,7.36749E-05,3793,15000US360470044000,104,-1,37,-1,3793,15000US360470044000,220,31,0,11,6,12,6,12,0,11,0,11,5,10,12,15,4,10,2,9,19,22,24,20,21,18,18,16,18,18,34,19,52,25,94.24777961,706.8583471
35,0,35,1,35,0,15,35,,,,,,,,,,,,,,,,,,,,,,,,35,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
36,0,36,2,36,0,15,36,,,,,,,,,,,,,,,,,,,,,,,,36,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,115,-1,72,-1,3814,15000US360470052011,715,70,148,52,80,36,20,20,28,29,11,16,11,14,22,28,19,24,3,10,46,37,37,32,77,52,52,51,28,24,59,38,76,46,94.24777961,706.8583471
37,0,37,1,37,0,15,37,,,,,,,,,,,,,,,,,,,,,,,,37,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
38,0,38,1,38,0,15,38,,,,,,,,,,,,,,,,,,,,,,,,38,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
39,0,39,1,39,1,15,39,,,,,,,,,,,,,,,,,,,,,,,,39,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
40,0,40,1,40,0,15,40,,,,,,,,,,,,,,,,,,,,,,,,40,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
41,0,41,1,41,1,15,41,,,,,,,,,,,,,,,,,,,,,,,,41,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
42,0,42,1,42,0,15,42,,,,,,,,,,,,,,,,,,,,,,,,42,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,105,-1,62,-1,3817,15000US360470052022,736,100,62,45,20,23,46,49,8,13,29,41,12,13,0,11,8,12,66,54,135,91,80,48,83,48,53,38,0,11,39,32,95,44,94.24777961,706.8583471
43,0,43,1,43,0,15,43,,,,,,,,,,,,,,,,,,,,,,,,43,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
44,0,44,1,44,1,15,44,,,,,,,,,,,,,,,,,,,,,,,,44,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
45,0,45,3,45,0,15,45,,,,,,,,,,,,,,,,,,,,,,,,45,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,107,-1,60,-1,3814,15000US360470052011,605,70,101,38,62,30,13,17,18,23,7,14,10,14,17,23,31,32,2,10,33,29,49,40,57,42,51,46,29,25,67,42,58,38,94.24777961,706.8583471
46,0,46,1,46,0,15,46,,,,,,,,,,,,,,,,,,,,,,,,46,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
47,0,47,1,47,0,15,47,,,,,,,,,,,,,,,,,,,,,,,,47,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
48,0,48,2,48,0,15,48,,,,,,,,,,,,,,,,,,,,,,,,48,36,47,5202,2,3.6047E+11,Block Group 2,G5030,S,83445,0,40.6188883,-74.0384036,15000US360470052022,0.0157697,8.88044E-06,3817,15000US360470052022,134,-1,80,-1,3817,15000US360470052022,804,102,60,43,38,33,39,36,26,27,32,37,10,13,8,15,12,14,50,44,102,68,88,53,96,52,70,41,48,38,45,34,80,41,94.24777961,706.8583471
49,0,49,1,49,0,15,49,,,,,,,,,,,,,,,,,,,,,,,,49,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
50,0,50,2,50,0,15,50,,,,,,,,,,,,,,,,,,,,,,,,50,36,47,5000,1,3.6047E+11,Block Group 1,G5030,S,65189,0,40.6242299,-74.0407575,15000US360470050001,0.010818014,6.93812E-06,3807,15000US360470050001,73,-1,35,-1,3807,15000US360470050001,386,71,8,12,12,15,0,11,16,24,4,12,8,12,21,26,27,30,0,11,19,26,56,46,38,36,56,48,23,22,58,36,42,36,94.24777961,706.8583471
51,0,51,1,51,0,15,51,,,,,,,,,,,,,,,,,,,,,,,,51,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
52,0,52,1,52,0,15,52,,,,,,,,,,,,,,,,,,,,,,,,52,36,47,5601,1,3.6047E+11,Block Group 1,G5030,S,117261,0,40.6150045,-74.0376412,15000US360470056011,0.015338135,1.24786E-05,3828,15000US360470056011,85,-1,50,-1,3828,15000US360470056011,628,98,49,48,7,12,6,9,87,49,22,20,35,46,0,11,0,11,12,19,62,42,0,11,107,56,119,67,39,45,12,20,71,55,94.24777961,706.8583471
53,0,53,1,53,0,15,53,,,,,,,,,,,,,,,,,,,,,,,,53,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
54,0,54,1,54,0,15,54,,,,,,,,,,,,,,,,,,,,,,,,54,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
55,0,55,1,55,0,15,55,,,,,,,,,,,,,,,,,,,,,,,,55,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
56,0,56,1,56,0,15,56,,,,,,,,,,,,,,,,,,,,,,,,56,36,47,4400,1,3.6047E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18253E-05,3794,15000US360470044001,207,-1,74,-1,3794,15000US360470044001,441,51,0,11,12,13,12,13,0,11,0,11,10,10,24,19,7,10,5,7,38,33,47,29,42,25,35,22,37,26,67,27,105,39,94.24777961,706.8583471
57,0,57,2,57,0,15,57,,,,,,,,,,,,,,,,,,,,,,,,57,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,205,-1,76,-1,3801,15000US360470046001,476,48,2,10,9,11,8,10,8,14,0,11,18,14,22,17,6,9,6,8,32,28,32,22,77,30,26,18,28,20,94,38,108,40,94.24777961,706.8583471
58,0,58,1,58,0,15,58,,,,,,,,,,,,,,,,,,,,,,,,58,36,47,4600,1,3.6047E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.07696E-05,3801,15000US360470046001,203,-1,77,-1,3801,15000US360470046001,510,46,3,8,6,9,5,8,15,16,0,11,26,17,19,15,6,8,7,10,26,24,17,16,112,36,17,15,20,15,121,48,110,41,94.24777961,706.8583471
59,0,59,1,59,0,15,59,,,,,,,,,,,,,,,,,,,,,,,,59,36,47,5201,1,3.6047E+11,Block Group 1,G5030,S,133678,0,40.6216089,-74.0382101,15000US360470052011,0.018281117,1.42269E-05,3814,15000US360470052011,175,-1,110,-1,3814,15000US360470052011,1045,68,287,89,161,60,39,28,22,20,15,19,15,17,9,15,38,38,6,9,62,35,37,27,96,55,40,42,42,32,85,55,91,42,94.24777961,706.8583471
