"";"Station";"sum";"Latitude";"Longitude"
"1";6282;2121;42,05028;-76,8326
"2";6282;2076;42,05028;-76,8326
"3";6282;3823;42,05028;-76,8326
"4";6282;3745;42,05028;-76,8326
"5";6282;3979;42,05028;-76,8326
"6";6282;3906;42,05028;-76,8326
"7";6282;4165;42,05028;-76,8326
"8";6282;4179;42,05028;-76,8326
"9";6282;4036;42,05028;-76,8326
"10";6282;4064;42,05028;-76,8326
"11";6282;4165;42,05028;-76,8326
"12";6282;4095;42,05028;-76,8326
"13";6282;4016;42,05028;-76,8326
"14";6282;3974;42,05028;-76,8326
"15";6282;4209;42,05028;-76,8326
"16";6282;4122;42,05028;-76,8326
"17";6282;4368;42,05028;-76,8326
"18";6282;4473;42,05028;-76,8326
"19";6282;3915;42,05028;-76,8326
"20";6282;3925;42,05028;-76,8326
"21";6282;4086;42,05028;-76,8326
"22";6282;4047;42,05028;-76,8326
"23";6282;3509;42,05028;-76,8326
"24";6282;3650;42,05028;-76,8326
"25";6282;4131;42,05028;-76,8326
"26";6282;4117;42,05028;-76,8326
"27";6282;4421;42,05028;-76,8326
"28";6282;4469;42,05028;-76,8326
"29";6282;3309;42,05028;-76,8326
"30";6282;3254;42,05028;-76,8326
"31";6282;3945;42,05028;-76,8326
"32";6282;3875;42,05028;-76,8326
"33";6282;3879;42,05028;-76,8326
"34";6282;3855;42,05028;-76,8326
"35";6282;4105;42,05028;-76,8326
"36";6282;4008;42,05028;-76,8326
"37";6282;4069;42,05028;-76,8326
"38";6282;3999;42,05028;-76,8326
"39";6282;2986;42,05028;-76,8326
"40";6282;2965;42,05028;-76,8326
"41";6282;4096;42,05028;-76,8326
"42";6282;4031;42,05028;-76,8326
"43";6282;4009;42,05028;-76,8326
"44";6282;4005;42,05028;-76,8326
"45";6282;4049;42,05028;-76,8326
"46";6282;4053;42,05028;-76,8326
"47";6282;4259;42,05028;-76,8326
"48";6282;4229;42,05028;-76,8326
"49";6282;3943;42,05028;-76,8326
"50";6282;3927;42,05028;-76,8326
"51";6282;4014;42,05028;-76,8326
"52";6282;3996;42,05028;-76,8326
"53";6282;4025;42,05028;-76,8326
"54";6282;3970;42,05028;-76,8326
"55";6282;4378;42,05028;-76,8326
"56";6282;4350;42,05028;-76,8326
"57";6282;3590;42,05028;-76,8326
"58";6282;3552;42,05028;-76,8326
"59";6282;4007;42,05028;-76,8326
"60";6282;3961;42,05028;-76,8326
"61";6282;4019;42,05028;-76,8326
"62";6282;4003;42,05028;-76,8326
"63";6282;4321;42,05028;-76,8326
"64";6282;4311;42,05028;-76,8326
"65";6282;4374;42,05028;-76,8326
"66";6282;4380;42,05028;-76,8326
"67";6282;4529;42,05028;-76,8326
"68";6282;4455;42,05028;-76,8326
"69";6282;3495;42,05028;-76,8326
"70";6282;3434;42,05028;-76,8326
"71";6282;3852;42,05028;-76,8326
"72";6282;3876;42,05028;-76,8326
"73";6282;3998;42,05028;-76,8326
"74";6282;4008;42,05028;-76,8326
"75";6282;4299;42,05028;-76,8326
"76";6282;4293;42,05028;-76,8326
"77";6282;4446;42,05028;-76,8326
"78";6282;4434;42,05028;-76,8326
"79";6282;3992;42,05028;-76,8326
"80";6282;3977;42,05028;-76,8326
"81";6282;3930;42,05028;-76,8326
"82";6282;3805;42,05028;-76,8326
"83";6282;3218;42,05028;-76,8326
"84";6282;3176;42,05028;-76,8326
"85";6282;4166;42,05028;-76,8326
"86";6282;4117;42,05028;-76,8326
"87";6282;4508;42,05028;-76,8326
"88";6282;4482;42,05028;-76,8326
"89";6282;3972;42,05028;-76,8326
"90";6282;3924;42,05028;-76,8326
"91";6282;4038;42,05028;-76,8326
"92";6282;3996;42,05028;-76,8326
"93";6282;4148;42,05028;-76,8326
"94";6282;4124;42,05028;-76,8326
"95";6282;4225;42,05028;-76,8326
"96";6282;4196;42,05028;-76,8326
"97";6282;4442;42,05028;-76,8326
"98";6282;4478;42,05028;-76,8326
"99";6282;3683;42,05028;-76,8326
"100";6282;3552;42,05028;-76,8326
"101";6282;4092;42,05028;-76,8326
"102";6282;4027;42,05028;-76,8326
"103";6282;4119;42,05028;-76,8326
"104";6282;4070;42,05028;-76,8326
"105";6282;4193;42,05028;-76,8326
"106";6282;4192;42,05028;-76,8326
"107";6282;4518;42,05028;-76,8326
"108";6282;4492;42,05028;-76,8326
"109";6282;3388;42,05028;-76,8326
"110";6282;3352;42,05028;-76,8326
"111";6282;3650;42,05028;-76,8326
"112";6282;3591;42,05028;-76,8326
"113";6282;4052;42,05028;-76,8326
"114";6282;4007;42,05028;-76,8326
"115";6282;4234;42,05028;-76,8326
"116";6282;4216;42,05028;-76,8326
"117";6282;4399;42,05028;-76,8326
"118";6282;4413;42,05028;-76,8326
"119";6282;3972;42,05028;-76,8326
"120";6282;3892;42,05028;-76,8326
"121";6282;4098;42,05028;-76,8326
"122";6282;4031;42,05028;-76,8326
"123";6282;4143;42,05028;-76,8326
"124";6282;4116;42,05028;-76,8326
"125";6282;4393;42,05028;-76,8326
"126";6282;4392;42,05028;-76,8326
"127";6282;4240;42,05028;-76,8326
"128";6282;4237;42,05028;-76,8326
"129";6282;3919;42,05028;-76,8326
"130";6282;3898;42,05028;-76,8326
"131";6282;3654;42,05028;-76,8326
"132";6282;3633;42,05028;-76,8326
"133";6282;3818;42,05028;-76,8326
"134";6282;3744;42,05028;-76,8326
"135";6282;4132;42,05028;-76,8326
"136";6282;4003;42,05028;-76,8326
"137";6282;4138;42,05028;-76,8326
"138";6282;4162;42,05028;-76,8326
"139";6282;4189;42,05028;-76,8326
"140";6282;4077;42,05028;-76,8326
"141";6282;4244;42,05028;-76,8326
"142";6282;4269;42,05028;-76,8326
"143";6282;4094;42,05028;-76,8326
"144";6282;3972;42,05028;-76,8326
"145";6282;4279;42,05028;-76,8326
"146";6282;4327;42,05028;-76,8326
"147";6282;4463;42,05028;-76,8326
"148";6282;4398;42,05028;-76,8326
"149";6282;4210;42,05028;-76,8326
"150";6282;4169;42,05028;-76,8326
"151";6282;4284;42,05028;-76,8326
"152";6282;4143;42,05028;-76,8326
"153";6282;4281;42,05028;-76,8326
"154";6282;4250;42,05028;-76,8326
"155";6282;4411;42,05028;-76,8326
"156";6282;4406;42,05028;-76,8326
"157";6282;4505;42,05028;-76,8326
"158";6282;4582;42,05028;-76,8326
"159";6282;4274;42,05028;-76,8326
"160";6282;4158;42,05028;-76,8326
"161";6282;4322;42,05028;-76,8326
"162";6282;4206;42,05028;-76,8326
"163";6282;4306;42,05028;-76,8326
"164";6282;4256;42,05028;-76,8326
"165";6282;4465;42,05028;-76,8326
"166";6282;4415;42,05028;-76,8326
"167";6282;4699;42,05028;-76,8326
"168";6282;4642;42,05028;-76,8326
"169";6282;4078;42,05028;-76,8326
"170";6282;3991;42,05028;-76,8326
"171";6282;4232;42,05028;-76,8326
"172";6282;4123;42,05028;-76,8326
"173";6282;4583;42,05028;-76,8326
"174";6282;4442;42,05028;-76,8326
"175";6282;4630;42,05028;-76,8326
"176";6282;4582;42,05028;-76,8326
"177";6282;4879;42,05028;-76,8326
"178";6282;4839;42,05028;-76,8326
"179";6282;4213;42,05028;-76,8326
"180";6282;4017;42,05028;-76,8326
"181";6282;4377;42,05028;-76,8326
"182";6282;4289;42,05028;-76,8326
"183";6282;4453;42,05028;-76,8326
"184";6282;4371;42,05028;-76,8326
"185";6282;4629;42,05028;-76,8326
"186";6282;4560;42,05028;-76,8326
"187";6282;4799;42,05028;-76,8326
"188";6282;4690;42,05028;-76,8326
"189";6282;4303;42,05028;-76,8326
"190";6282;4256;42,05028;-76,8326
"191";6282;4397;42,05028;-76,8326
"192";6282;4383;42,05028;-76,8326
"193";6282;4462;42,05028;-76,8326
"194";6282;4387;42,05028;-76,8326
"195";6282;4658;42,05028;-76,8326
"196";6282;4609;42,05028;-76,8326
"197";6282;4973;42,05028;-76,8326
"198";6282;4963;42,05028;-76,8326
"199";6282;4306;42,05028;-76,8326
"200";6282;4218;42,05028;-76,8326
"201";6282;4402;42,05028;-76,8326
"202";6282;4383;42,05028;-76,8326
"203";6282;4523;42,05028;-76,8326
"204";6282;4371;42,05028;-76,8326
"205";6282;4705;42,05028;-76,8326
"206";6282;4789;42,05028;-76,8326
"207";6282;4346;42,05028;-76,8326
"208";6282;4267;42,05028;-76,8326
"209";6282;3064;42,05028;-76,8326
"210";6282;2854;42,05028;-76,8326
"211";6282;3850;42,05028;-76,8326
"212";6282;3813;42,05028;-76,8326
"213";6282;4395;42,05028;-76,8326
"214";6282;4326;42,05028;-76,8326
"215";6282;4657;42,05028;-76,8326
"216";6282;4546;42,05028;-76,8326
"217";6282;4902;42,05028;-76,8326
"218";6282;4938;42,05028;-76,8326
"219";6282;4473;42,05028;-76,8326
"220";6282;4274;42,05028;-76,8326
"221";6282;4521;42,05028;-76,8326
"222";6282;4358;42,05028;-76,8326
"223";6282;4429;42,05028;-76,8326
"224";6282;4325;42,05028;-76,8326
"225";6282;4450;42,05028;-76,8326
"226";6282;4390;42,05028;-76,8326
"227";6282;4684;42,05028;-76,8326
"228";6282;4537;42,05028;-76,8326
"229";6282;4377;42,05028;-76,8326
"230";6282;4278;42,05028;-76,8326
"231";6282;4412;42,05028;-76,8326
"232";6282;4363;42,05028;-76,8326
"233";6282;4503;42,05028;-76,8326
"234";6282;4366;42,05028;-76,8326
"235";6282;4422;42,05028;-76,8326
"236";6282;4397;42,05028;-76,8326
"237";6282;4932;42,05028;-76,8326
"238";6282;4991;42,05028;-76,8326
"239";6282;4415;42,05028;-76,8326
"240";6282;4347;42,05028;-76,8326
"241";6282;4360;42,05028;-76,8326
"242";6282;4340;42,05028;-76,8326
"243";6282;4540;42,05028;-76,8326
"244";6282;4528;42,05028;-76,8326
"245";6282;4693;42,05028;-76,8326
"246";6282;4632;42,05028;-76,8326
"247";6282;4818;42,05028;-76,8326
"248";6282;4710;42,05028;-76,8326
"249";6282;3903;42,05028;-76,8326
"250";6282;3830;42,05028;-76,8326
"251";6282;4098;42,05028;-76,8326
"252";6282;3964;42,05028;-76,8326
"253";6282;4215;42,05028;-76,8326
"254";6282;4176;42,05028;-76,8326
"255";6282;4278;42,05028;-76,8326
"256";6282;4196;42,05028;-76,8326
"257";6282;4494;42,05028;-76,8326
"258";6282;4409;42,05028;-76,8326
"259";6282;4079;42,05028;-76,8326
"260";6282;3997;42,05028;-76,8326
"261";6282;4130;42,05028;-76,8326
"262";6282;4078;42,05028;-76,8326
"263";6282;4680;42,05028;-76,8326
"264";6282;4534;42,05028;-76,8326
"265";6282;2970;42,05028;-76,8326
"266";6282;2955;42,05028;-76,8326
"267";6282;4083;42,05028;-76,8326
"268";6282;3930;42,05028;-76,8326
"269";6282;4193;42,05028;-76,8326
"270";6282;4050;42,05028;-76,8326
"271";6282;4148;42,05028;-76,8326
"272";6282;4075;42,05028;-76,8326
"273";6282;4110;42,05028;-76,8326
"274";6282;4072;42,05028;-76,8326
"275";6282;4420;42,05028;-76,8326
"276";6282;4378;42,05028;-76,8326
"277";6282;4478;42,05028;-76,8326
"278";6282;4376;42,05028;-76,8326
"279";6282;4160;42,05028;-76,8326
"280";6282;4051;42,05028;-76,8326
"281";6282;4102;42,05028;-76,8326
"282";6282;3953;42,05028;-76,8326
"283";6282;4331;42,05028;-76,8326
"284";6282;4171;42,05028;-76,8326
"285";6282;4247;42,05028;-76,8326
"286";6282;4145;42,05028;-76,8326
"287";6282;4511;42,05028;-76,8326
"288";6282;4432;42,05028;-76,8326
"289";6282;4097;42,05028;-76,8326
"290";6282;3988;42,05028;-76,8326
"291";6282;4075;42,05028;-76,8326
"292";6282;4012;42,05028;-76,8326
"293";6282;4354;42,05028;-76,8326
"294";6282;4337;42,05028;-76,8326
"295";6282;4516;42,05028;-76,8326
"296";6282;4383;42,05028;-76,8326
"297";6282;4406;42,05028;-76,8326
"298";6282;4267;42,05028;-76,8326
"299";6282;4072;42,05028;-76,8326
"300";6282;3917;42,05028;-76,8326
"301";6282;4010;42,05028;-76,8326
"302";6282;3926;42,05028;-76,8326
"303";6282;4225;42,05028;-76,8326
"304";6282;4110;42,05028;-76,8326
"305";6282;4460;42,05028;-76,8326
"306";6282;4306;42,05028;-76,8326
"307";6282;4556;42,05028;-76,8326
"308";6282;4579;42,05028;-76,8326
"309";6282;3976;42,05028;-76,8326
"310";6282;3842;42,05028;-76,8326
"311";6282;3925;42,05028;-76,8326
"312";6282;3883;42,05028;-76,8326
"313";6282;3970;42,05028;-76,8326
"314";6282;3911;42,05028;-76,8326
"315";6282;4194;42,05028;-76,8326
"316";6282;4146;42,05028;-76,8326
"317";6282;4295;42,05028;-76,8326
"318";6282;4248;42,05028;-76,8326
"319";6282;3918;42,05028;-76,8326
"320";6282;3806;42,05028;-76,8326
"321";6282;3895;42,05028;-76,8326
"322";6282;3812;42,05028;-76,8326
"323";6282;3974;42,05028;-76,8326
"324";6282;3917;42,05028;-76,8326
"325";6282;4224;42,05028;-76,8326
"326";6282;4172;42,05028;-76,8326
"327";6282;4334;42,05028;-76,8326
"328";6282;4294;42,05028;-76,8326
"329";6282;3978;42,05028;-76,8326
"330";6282;3861;42,05028;-76,8326
"331";6282;3873;42,05028;-76,8326
"332";6282;3842;42,05028;-76,8326
"333";6282;4020;42,05028;-76,8326
"334";6282;3908;42,05028;-76,8326
"335";6282;4284;42,05028;-76,8326
"336";6282;4249;42,05028;-76,8326
"337";6282;4360;42,05028;-76,8326
"338";6282;4384;42,05028;-76,8326
"339";6282;3927;42,05028;-76,8326
"340";6282;3890;42,05028;-76,8326
"341";6282;3949;42,05028;-76,8326
"342";6282;3855;42,05028;-76,8326
"343";6282;4070;42,05028;-76,8326
"344";6282;3994;42,05028;-76,8326
"345";6282;4332;42,05028;-76,8326
"346";6282;4311;42,05028;-76,8326
"347";6282;4533;42,05028;-76,8326
"348";6282;4489;42,05028;-76,8326
"349";6282;2718;42,05028;-76,8326
"350";6282;2719;42,05028;-76,8326
"351";6282;4198;42,05028;-76,8326
"352";6282;4143;42,05028;-76,8326
"353";6282;4450;42,05028;-76,8326
"354";6282;4315;42,05028;-76,8326
"355";6282;4487;42,05028;-76,8326
"356";6282;4420;42,05028;-76,8326
